,Name,Price,Location,Category
156,Hot Deal un furnished house for sale in gacuriro vision 20,"250,000 USD",N/A,house
157,,"280,000 USD",N/A,house
158,Nice new house for sale in good neighborhood,"250,000,000 FRW",N/A,house
159,Nyarutarama two houses for sale on good price,"500,000,000 FRW",N/A,house
160,Plot for sale in kacyiru,"180,000,000 FRW",N/A,land
161,Nice house for sale in kagugu on tarmac road,"350,000,000 FRW",N/A,house
162,House for sale in gacuriro vision 2020,"250,000 USD",N/A,house
163,Rebero nice plot for sale in good neighborhood.,"70,000,000 FRW",N/A,land
164,KIGALI NICE PLOT FOR SALE IN GOOD NEIGHBORHOOD,"250,000,000 FRW",N/A,land
165,Cheap Apartment for sale in gacuriro vision city,"180,000,000 FRW",N/A,apartment
166,Semi detached house for sale in vision city,"370,000 USD",N/A,house
167,House house for sale in nyarutarama DNd estate,"110,000 USD",N/A,house
168,Nice new house for sale on reasonable price,"68,000,000 FRW",N/A,house
169,Kigali nice house for sale on good price,"270,000,000 FRW",N/A,house
170,Nice brand new house for sale in kibagabaga,"350,000,000 FRW",N/A,house
171,Nice house for sale in kibagabaga on tarmac road,"280,000,000 FRW",N/A,house
172,Residential plot for sale in gasanze,"30,000,000 FRW",N/A,land
173,Petrol station for sale in nyamata,"1,000,000,000 FRW",N/A,building
174,Industrial plot for sale in masoro phase 1,"1,500,000 USD",N/A,wirehouse
175,Residential plot for sale in bumbogo,"38,000,000 FRW",N/A,land
176,Kigali two houses in compound for sale in big plot on good price,"150,000,000 FRW",N/A,house
177,Kibagabaga nice house for sale in good neighborhood,"280,000,000 FRW",N/A,house
178,Kigali kibagabaga house for sale brand new,"500,000,000 FRW",N/A,house
179,Un furnished house new house for sale in kibagabaga,"420,000,000 FRW",N/A,house
180,Plot/ land for sale at kabuga muyumbo,"8,000,000 FRW",N/A,house
181,Un furnished new house for sale Kibagabaga near pili pili,"350,000,000 FRW",N/A,house
182,Plot for sale kinyinya,"15,000,000 FRW",N/A,land
183,House for sale in gacuriro in good estate,"270,000,000 FRW",N/A,house
184,Un furnished house for rent in Gisozi near fawe girl school,"350,000,000 FRW",N/A,house
185,House for sale in kibagabaga near pili pili,"250,000,000 FRW",N/A,house
186,Plot with old house to be renovated for sale in remera near bk arena,"150,000,000 FRW",N/A,land
187,Plot for sale in gacuriro,"90,000,000 FRW",N/A,land
188,New well un furnished house for sale in kibagabaga,"350,000,000 FRW",N/A,house
189,Big plot for sale in kagugu near landmark hotel,"900,000,000 FRW",N/A,land
190,Un furnished house for sale in kibagabaga on tarmac road,"350,000,000 FRW",N/A,house
191,Two house for sale in compound in kibagabaga,"350,000,000 FRW",N/A,house
192,Gishushu nice full furnished apartment for sale in good neighborhood,"160,000 USD",N/A,apartment
193,Beautiful house for sale in good neighborhood of Kigali kimironko,"300,000,000 FRW",N/A,house
194,Kigali nice new house for sale in good neighborhood,"300,000,000 FRW",N/A,house
195,Kibagabaga new house for sale in good neighborhood,"450,000,000 FRW",N/A,house
196,Plot for sale in kimihurura rugando,"110,000 USD",N/A,land
197,Plot for sale in remera,"160,000,000 FRW",N/A,land
198,Nice new house for sale in kicukiro kagarama in good neighborhood,"165,000,000 FRW",N/A,house
199,Charming Modern Home for Sale ready to move in!,"450,000,000 FRW",N/A,house
200,Nice plot for sale in kimironko kwa masansu church,"45,000,000 FRW",N/A,house
201,Un furnished new house for sale in gacuriro,"250,000,000 FRW",N/A,house
202,Under construction story building for sale in gacuriro,"100,000,000 FRW",N/A,house
203,Nice plot for sale in kicukiro kagarama,FRW,N/A,land
204,Nice big plot for sale in gacuriro near simba center gacuriro,"400,000 USD",N/A,land
205,Nicely lovely new house for sale in kicukiro NIBOYE,"260,000,000 FRW",N/A,house
206,Welcome to your dream home for sale in kicukiro,"250,000,000 FRW",N/A,house
207,Nice plot for sale in VIP neighbourhood of gacuriro,"200,000,000 FRW",N/A,land
208,Plot for sale in kinyinya facing kibagabaga,"34,000,000 FRW",N/A,land
209,Nice house for sale with swimming pool at kicukiro,"300,000,000 FRW",N/A,house
210,Un furnished new house for sale in kimironko,"300,000,000 FRW",N/A,house
211,Hot deal 👌 nice house for sale in gacuriro vision 2020 with golf view,"280,000 USD",N/A,house
212,Un finishes house for sale in kinyinya,"200,000,000 FRW",N/A,house
213,Kibagabaga nice new house for sale in good neighborhood,"350,000,000 FRW",N/A,house
214,Nice house for sale in rebero with nice view,"300,000,000 FRW",N/A,house
215,,"3,000,000 FRW",N/A,land
216,Nice house for  in sale in kibagabaga,"170,000,000 FRW",N/A,house
217,Unfurnished brand new house for sale in kimironko,"165,000,000 FRW",N/A,house
218,Un furnished house for sale in kimironko,"300,000,000 FRW",N/A,house
219,Nice house for sale in kibagabaga,"300,000,000 FRW",N/A,house
220,Hot Deal un furnished house for sale in gacuriro vision 20,"250,000 USD",N/A,house
221,,"280,000 USD",N/A,house
222,Nice new house for sale in good neighborhood,"250,000,000 FRW",N/A,house
223,Nyarutarama two houses for sale on good price,"500,000,000 FRW",N/A,house
